"grid...1.";"grid...2.";"krigagem2.predict"
-20,251;-51,472;156,901124006889
-20,201;-51,472;156,901124006889
-25,101;-51,422;156,901124006889
-25,051;-51,422;156,901124006889
-25,001;-51,422;156,901124006889
-24,951;-51,422;156,901124006889
-24,901;-51,422;156,901124006889
-24,851;-51,422;156,901124006889
-24,801;-51,422;156,901124006889
-24,751;-51,422;156,901124006889
-24,701;-51,422;156,901124006889
-24,651;-51,422;156,901124006889
-24,601;-51,422;156,901124006889
-24,551;-51,422;156,901124006889
-24,501;-51,422;156,901124006889
-24,451;-51,422;156,901124006889
-24,401;-51,422;156,901124006889
-24,351;-51,422;156,901124006889
-24,301;-51,422;156,901124006889
-24,251;-51,422;156,901124006889
-24,201;-51,422;156,901124006889
-24,151;-51,422;156,901124006889
-24,101;-51,422;156,901124006889
-24,051;-51,422;156,901124006889
-24,001;-51,422;156,901124006889
-23,951;-51,422;156,901124006889
-23,901;-51,422;156,901124006889
-23,851;-51,422;156,901124006889
-23,801;-51,422;156,901124006889
-23,751;-51,422;156,901124006889
-23,701;-51,422;156,901124006889
-23,651;-51,422;156,901124006889
-23,601;-51,422;156,901124006889
-23,551;-51,422;156,901124006889
-23,501;-51,422;156,901124006889
-23,451;-51,422;156,901124006889
-23,401;-51,422;156,901124006889
-23,351;-51,422;156,901124006889
-23,301;-51,422;156,901124006889
-23,251;-51,422;156,901124006889
-23,201;-51,422;156,901124006889
-23,151;-51,422;156,901124006889
-23,101;-51,422;156,901124006889
-23,051;-51,422;156,901124006889
-23,001;-51,422;156,901124006889
-22,951;-51,422;156,901124006889
-22,901;-51,422;156,901124006889
-22,851;-51,422;156,901124006889
-22,801;-51,422;156,901124006889
-22,751;-51,422;156,901124006889
-22,701;-51,422;156,901124006889
-22,651;-51,422;156,901124006889
-22,601;-51,422;156,901124006889
-22,551;-51,422;156,901124006889
-22,501;-51,422;156,901124006889
-22,451;-51,422;156,901124006889
-22,401;-51,422;156,901124006889
-22,351;-51,422;156,901124006889
-22,301;-51,422;156,901124006889
-22,251;-51,422;156,901124006889
-22,201;-51,422;156,901124006889
-22,151;-51,422;156,901124006889
